IssueID,ProjectName,Politeness,FixingTime_hours,Assignee,AssigneeAct,Project
294869,Derby,polite,338.6085,51776,HIGH,DERBY
294867,Derby,mixed,2871.3726,51553,HIGH,DERBY
338093,Camel,polite,22.7811,0,null,CAMEL
294868,Derby,mixed,331.941,32000,VHIGH,DERBY
338094,Camel,polite,23.9575,0,null,CAMEL
294865,Derby,impolite,239.7918,32000,VHIGH,DERBY
294866,Derby,mixed,10200.3096,51542,HIGH,DERBY
294861,Derby,mixed,642.4947,51553,HIGH,DERBY
294862,Derby,polite,8938.3925,0,null,DERBY
338083,Camel,impolite,141.6062,7111,VHIGH,CAMEL
294876,Derby,impolite,63.5246,32032,VHIGH,DERBY
294877,Derby,impolite,111.5712,42546,VHIGH,DERBY
294875,Derby,mixed,2018.1101,51772,HIGH,DERBY
294872,Derby,polite,316.573,51776,HIGH,DERBY
294870,Derby,mixed,2866.6997,51806,HIGH,DERBY
294871,Derby,mixed,153.2114,0,null,DERBY
294887,Derby,polite,618.0147,51543,HIGH,DERBY
294886,Derby,polite,24781.7594,18580,HIGH,DERBY
338076,Camel,polite,271.0218,27362,HIGH,CAMEL
294883,Derby,mixed,335.874,39222,VHIGH,DERBY
294884,Derby,mixed,226.683,40085,HIGH,DERBY
294882,Derby,polite,361.5599,40085,HIGH,DERBY
338062,Camel,mixed,30.1905,7111,VHIGH,CAMEL
294896,Derby,mixed,3767.9239,51722,HIGH,DERBY
294897,Derby,mixed,3767.9791,51722,HIGH,DERBY
294894,Derby,polite,146.0484,0,null,DERBY
338066,Camel,mixed,4416.6978,17132,HIGH,CAMEL
294892,Derby,polite,383.3857,51791,HIGH,DERBY
338068,Camel,polite,6373.6725,7111,VHIGH,CAMEL
294893,Derby,polite,890.9924,51820,HIGH,DERBY
294890,Derby,polite,3683.7104,51542,HIGH,DERBY
294891,Derby,polite,720.2001,51542,HIGH,DERBY
226338,Hadoop Common,mixed,348.3748,30471,VHIGH,HADOOP
226339,Hadoop Common,mixed,140.0423,30802,STD,HADOOP
192475,Hive,mixed,7737.8381,32642,HIGH,HIVE
226343,Hadoop Common,mixed,7332.9368,8063,HIGH,HADOOP
226344,Hadoop Common,polite,0.0855,0,null,HADOOP
226346,Hadoop Common,polite,770.4333,36458,HIGH,HADOOP
192473,Hive,impolite,41.4256,45080,STD,HIVE
226325,Hadoop Common,mixed,2404.1008,8635,HIGH,HADOOP
226326,Hadoop Common,mixed,497.4596,8350,VHIGH,HADOOP
226327,Hadoop Common,impolite,536.0607,0,null,HADOOP
226328,Hadoop Common,impolite,354.3117,8066,HIGH,HADOOP
192486,Hive,impolite,240.2517,36385,VHIGH,HIVE
192487,Hive,mixed,15.0756,32642,HIGH,HIVE
226333,Hadoop Common,mixed,671.6237,8527,VHIGH,HADOOP
226334,Hadoop Common,mixed,1628.6736,8527,VHIGH,HADOOP
226335,Hadoop Common,impolite,822.9304,21571,HIGH,HADOOP
226331,Hadoop Common,polite,268.3801,36200,HIGH,HADOOP
192480,Hive,impolite,769.2658,45080,STD,HIVE
192481,Hive,impolite,114.3174,44981,HIGH,HIVE
192483,Hive,mixed,589.6356,44981,HIGH,HIVE
192485,Hive,mixed,2229.0254,36385,VHIGH,HIVE
226358,Hadoop Common,impolite,317.0524,36200,HIGH,HADOOP
226365,Hadoop Common,mixed,147.4637,36554,HIGH,HADOOP
226366,Hadoop Common,mixed,5643.7551,8066,HIGH,HADOOP
192455,Hive,mixed,2337.6223,32642,HIGH,HIVE
192456,Hive,impolite,7.0675,44970,HIGH,HIVE
226368,Hadoop Common,mixed,25895.1819,36076,HIGH,HADOOP
226361,Hadoop Common,polite,508.1024,21449,STD,HADOOP
226363,Hadoop Common,impolite,1.1015,30471,VHIGH,HADOOP
226364,Hadoop Common,impolite,576.9606,0,null,HADOOP
226360,Hadoop Common,mixed,2579.4337,0,null,HADOOP
226348,Hadoop Common,mixed,453.3217,8063,HIGH,HADOOP
226349,Hadoop Common,impolite,457.4942,21571,HIGH,HADOOP
192464,Hive,impolite,76.367,36385,VHIGH,HIVE
226354,Hadoop Common,impolite,5.2123,0,null,HADOOP
226355,Hadoop Common,polite,216.6834,8063,HIGH,HADOOP
192466,Hive,polite,2766.5439,32642,HIGH,HIVE
226356,Hadoop Common,mixed,1007.2434,36312,HIGH,HADOOP
192467,Hive,polite,520.6157,45101,STD,HIVE
